上海张江高科技园区开发股份有限公司,310000000043546,浦东新区龙东大道200号,154868.955万人民币
苏州新区高新技术产业股份有限公司,320000000009807,苏州市新区运河路８号,119429.2932万元人民币
珠海华发实业股份有限公司,440400000065217,珠海市昌盛路155号,81704.562万
北京城建投资发展股份有限公司,110000005200596,北京市海淀区大柳树富海中心2号楼19层,156704万元
,,,
,,,
北京北辰实业股份有限公司,110000410131502,北京市朝阳区北辰东路8号,336702万元人民币
,,,
江苏宁沪高速公路股份有限公司,320000000004194,江苏省南京市仙林大道6号,503774.75万人民币
,,,
重庆钢铁股份有限公司,500000400003546,重庆市长寿经开区钢城大道1号,443602.258万元人民币
河南银鸽实业投资股份有限公司,410000100016929,漯河市召陵区人民东路6号,"124,910.2957万元"
西部矿业股份有限公司,630000400003574,青海省西宁市五四大街52号,"238,300万元"
云南云维股份有限公司,530000000002692,云南省曲靖市沾益县盘江镇花山工业区,61623.5万人民币
柳州钢铁股份有限公司,450200000000013,广西柳州市北雀路１１７号,"256,279.32万元"
西宁特殊钢股份有限公司,630000100008079,西宁市柴达木西路52号,"74,121.9252万元"
安徽海螺水泥股份有限公司,340000000000081,安徽省芜湖市文化路39号,"529,930.2579万元"
海南航空股份有限公司,460000400002151,中国海南省海口市国兴大道7号海航大厦,1218218.179万人民币元
大连港股份有限公司,210200400039287,辽宁省大连保税区大窑湾新港商务大厦,442600万人民币
江苏连云港港口股份有限公司,320700000003113,连云港市连云区庙岭港区港口四路8号,101521.5101万元人民币
安徽皖通高速公路股份有限公司,340000400002623,安徽省合肥市望江西路520号,"165,861万人民币元"
南京高科股份有限公司,320192000001237,南京经济技术开发区新港大道129号,77432.8248万元人民币
上海新黄浦置业股份有限公司,310000000047244,上海市北京东路668号西楼32层,56116.3万人民币
招金矿业股份有限公司,370000018082374,招远市金晖路299号,296582.7195万元人民币
营口港务股份有限公司,210000004925657,营口市鲅鱼圈区营港路１号,647298.3003万人民币
哈尔滨投资集团有限责任公司,230199100039345,哈尔滨市南岗区汉水路１７２号,"500,000万人民币"
西藏城市发展投资股份有限公司,540000100003419,西藏自治区拉萨市金珠西路75号2楼,"72,921.3663万元"
湖北清能地产集团有限公司,420000000013108,湖北省武汉市武昌区中华路57号,"294,042.91万元"
湖北兴发化工集团股份有限公司,420000000007536,兴山县古夫镇高阳大道58号,"52,998.1934万元"
福建发展高速公路股份有限公司,350000100010861,福州市东水路１８号交通综合大楼,274440.0万人民币
广西金融投资集团有限公司,450000000014798,南宁市青秀区金浦路２２号名都苑１号商住楼十二层,"150,000万人民币元"
江西长运股份有限公司,360000110006516,江西省南昌市西湖区广场南路118号,23706.4万元
哈尔滨好民居建设投资发展有限公司,230100100036879,哈尔滨市道里区建国街30号,"5,000万人民币"
浙江海正药业股份有限公司,330000000037277,浙江省台州市椒江区外沙路46号,96553.1842万元人民币
广东粤运交通股份有限公司,440000400013429,广州市白云区机场路1731-1735号8楼,41764.1867万人民币元
联发集团有限公司,350200400009372,厦门市湖里区湖里大道31号,210000.0万人民币
珠海格力房产有限公司,440400000035200,珠海市北岭工业区,12688.2万
,,,
厦门住宅建设集团有限公司,350200100012016,厦门市思明区莲前西路2号莲富大厦写字楼八层,263266.0万人民币
新疆金融投资有限公司,650000030000727,新疆乌鲁木齐市天山区金银路53号,35012.19 万
杭州市实业投资集团有限公司,330100000031027,杭州市西湖区保俶路宝石山下四弄13号,300000万元人民币
广州越秀集团有限公司,440101000047177,广州市天河区珠江新城珠江西路5号广州国际金融中心65楼,1018551.800000万元人民币
上海集优机械股份有限公司,310000000088302,上海市恒丰路600号机电大厦1501室,143828.6184万人民币
,,,
兖州煤业股份有限公司,370000400001016,邹城市凫山南路298号,491840万人民币
上海申通地铁股份有限公司,310000000009752,上海市浦电路489号,47738.1905万人民币
江中药业股份有限公司,360000110004725,江西省南昌市高新区火炬大道788号,30000万元
青海金瑞矿业发展股份有限公司,630000100008572,西宁市朝阳西路112号,"28,817.6273万元"
浙江尖峰集团股份有限公司,330000000009457,浙江省金华市婺江东路88号,34408.3828万元人民币
上海电气集团股份有限公司,310000000086691,上海市兴义路8号30层,1282362.666万人民币
,,,
宁波港股份有限公司,330200400022586,宁波市北仑区明州路301号,1280000万元人民币
,,,
上海交运集团股份有限公司,310000000023877,上海市浦东新区曹路工业园区民冬路239号6幢101室,86237.3924万人民币
开滦能源化工股份有限公司,130000000022087,唐山市新华东道70号东楼,123464.0万人民币
山西兰花科技创业股份有限公司,140000100069163,晋城市凤台东街2288号,"114,240万元"
重庆水务集团股份有限公司,500000000003412,重庆市渝中区龙家湾1号,480000万元人民币
,,,
安阳钢铁股份有限公司,410000100050278,安阳市殷都区梅元庄,"239,368.45万元"
新余钢铁股份有限公司,360000521000025,江西省新余市铁焦路,139344.8106万元
新天绿色能源股份有限公司,130000000023637,石家庄市裕华西路9号,371516.0396万人民币
深圳高速公路股份有限公司,440301104056451,深圳市福田区益田路江苏大厦裙楼2-4层,218077.0326万元人民币
湘潭电机股份有限公司,430300000028394,湖南省湘潭市下摄司街302号,74340.5176万人民币
凌源钢铁股份有限公司,211300004010748,辽宁省凌源市钢铁路３号,80400.22万人民币
广东肇庆星湖生物科技股份有限公司,441200000028883,肇庆市工农北路６７号,64539.3465万人民币元
瀚蓝环境股份有限公司,440682000088499,佛山市南海区桂城南海大道建行大厦,57924.2881万人民币元
杭州钢铁股份有限公司,330000000025370,杭州市拱墅区半山路178号,83893.875万元人民币
上海浦东路桥建设股份有限公司,310000000092681,浦东新区佳林路1028号,69304.0万人民币
马鞍山钢铁股份有限公司,340000400002545,安徽省马鞍山市九华西路8号,"770,068.1186万人民币元"
重庆机电股份有限公司,500000000000311,重庆市北部新区黄山大道中段60号,368464.0154万元人民币
广西桂东电力股份有限公司,451100000001071,贺州市平安西路１２号,"27,592.5万元"
鲁信创业投资集团股份有限公司,370000018008727,淄博市高新技术产业开发区裕民路129号,74435.9294万元人民币
吉林高速公路股份有限公司,220000000149648,长春市宽城区兰家镇兰家大街155号,121320万元人民币
