公司名,城,注册号
南京化学工业园公用事业有限责任公司,江苏,320193000000222
南京化学工业园有限公司,江苏,320193000000191
南京宁西道路桥梁工程有限公司,江苏,320111000003191
南京市浦口区水务建设发展有限公司,江苏,320111000005025
南京市溧水区昱达商贸集团有限公司,江苏,320124000002976
南京新明经济开发有限公司,江苏,320123000010071
南京江宁水务集团有限公司,江苏,320121000116701
南京江宁滨江新城开发建设有限公司,江苏,320121000149157
南京江宁滨江物流有限公司,江苏,320121000140990
南京汤山旅游发展有限公司,江苏,320121000012746
南京汤山温泉资源管理有限公司,江苏,320121000185562
南京港股份有限公司,江苏,320000000016550
南京珍珠泉经济发展有限公司,江苏,320111000081924
南京瑞源建设工程有限公司,江苏,320121000042654
南京西部路桥集团有限公司,江苏,320121000006750
南京路鹏建设工程有限公司,江苏,320123000163146
南京远古水业股份有限公司,江苏,320100000028246
南京金港投资有限公司,江苏,320100000038616
南京钢铁股份有限公司,江苏,320000000012926
南京雨花经济技术发展有限公司,江苏,320114000004074
南京高科股份有限公司,江苏,320192000001237
南京龙潭物流基地开发有限公司,江苏,320113000004078
南通一建集团有限公司,江苏,320600000090334
南通世锦实业有限公司,江苏,320683000232788
南通市江海公路工程有限公司,江苏,320600000094353
南通晨曦焊业有限公司,江苏,320683000156142
南通汽运实业集团有限公司,江苏,320600000002675
南通泰禾化工有限公司,江苏,320600400009612
南通洋口港综合开发有限公司,江苏,320623000000237
博瑞生物医药技术（苏州）有限公司,江苏,320500400009878
双良节能系统股份有限公司,江苏,320000400001692
句容市茅山湖康体养生旅游度假有限公司,江苏,321183000118394
句容新农建设发展有限公司,江苏,321183000090689
启东市临海公路建设工程有限公司,江苏,320681000220075
吴江市盛泽水处理发展有限公司,江苏,320584000006137
圣欧芳纶（江苏）股份有限公司,江苏,320584400012437
大丰市大丰港农业发展有限公司,江苏,320982000001094
大丰市高鑫投资有限责任公司,江苏,320982000129278
大丰海港港口有限责任公司,江苏,320982000004829
大亚科技股份有限公司,江苏,320000000012983
如皋市交通服务发展有限公司,江苏,320682000208224
如皋市富港工程建设有限公司,江苏,320682000225539
如皋市顾庄生态园开发建设有限公司,江苏,320682000163758
如皋港务集团有限公司,江苏,320600400006968
宜兴市城市发展投资有限公司,江苏,320282000025826
宝胜科技创新股份有限公司,江苏,320000000014841
宿迁市惠农农业发展股份有限公司,江苏,321300000037542
宿迁市致富皮业有限公司,江苏,321300000017580
宿迁市金田塑业有限公司,江苏,321300000001967
常州国际机场集团有限公司,江苏,320400000039275
常州天晟新材料股份有限公司,江苏,320400000003930
常州市城市建设（集团）有限公司,江苏,320400000002847
常州市春秋淹城建设投资有限公司,江苏,320483000220465
常州市武进广播电视投资发展有限公司,江苏,320483000258247
常州市江南花都花卉产业园有限公司,江苏,320483000287478
常州市西太湖旅游发展有限公司,江苏,320483000265750
常州市金坛茅山景区资产经营有限公司,江苏,320482000060352
常州民生环保科技有限公司,江苏,320407000001914
常州科研试制中心有限公司,江苏,320400000014368
常州长青交通科技股份有限公司,江苏,320400400015052
常熟市发展投资有限公司,江苏,320581000007227
常熟市虞山尚湖旅游发展有限责任公司,江苏,320581000182604
常熟新材料产业园污水处理有限公司,江苏,320581000009013
徐州市新城区国有资产经营有限责任公司,江苏,320306000000746
徐州市贾汪都市旅游投资发展有限公司,江苏,320305000027830
徐州新源水务有限公司,江苏,320306000009497
徐州申鑫建材市场管理有限公司,江苏,320323000054185
徐工集团工程机械股份有限公司,江苏,320300000017304
恒远国际工程集团有限公司,江苏,321088000042665
